date,value
1/7/91,3.526591
1/8/91,3.180891
1/9/91,3.252221
1/10/91,3.611003
1/11/91,3.565869
1/12/91,4.306371
1/1/92,5.088335
1/2/92,2.81452
1/3/92,2.985811
1/4/92,3.20478
1/5/92,3.127578
1/6/92,3.270523
1/7/92,3.73785082
1/8/92,3.55877609
1/9/92,3.77720173
1/10/92,3.92449042
1/11/92,4.38653092
1/12/92,5.81054917
1/1/93,6.19206769
1/2/93,3.45085699
1/3/93,3.77230686
1/4/93,3.7343029
1/5/93,3.90539892
1/6/93,4.04968714
1/7/93,4.31556552
1/8/93,4.56218455
1/9/93,4.60866203
1/10/93,4.66785129
1/11/93,5.09384145
1/12/93,7.1799622
1/1/94,6.73147308
1/2/94,3.84127758
1/3/94,4.39407557
1/4/94,4.07534073
1/5/94,4.5406449
1/6/94,4.64561508
1/7/94,4.75260653
1/8/94,5.35060467
1/9/94,5.20445484
1/10/94,5.3016513
1/11/94,5.77374216
1/12/94,6.20459348
1/1/95,6.74948382
1/2/95,4.21606735
1/3/95,4.94934946
1/4/95,4.8230449
1/5/95,5.19475419
1/6/95,5.17078711
1/7/95,5.25674157
1/8/95,5.85527729
1/9/95,5.49072901
1/10/95,6.11529323
1/11/95,6.08847284
1/12/95,7.41659792
1/1/96,8.32945212
1/2/96,5.06979585
1/3/96,5.26255667
1/4/96,5.59712628
1/5/96,6.110296
1/6/96,5.68916084
1/7/96,6.48684933
1/8/96,6.30056933
1/9/96,6.46747574
1/10/96,6.82862939
1/11/96,6.64907826
1/12/96,8.60693721
1/1/97,8.52447101
1/2/97,5.27791837
1/3/97,5.71430345
1/4/97,6.21452908
1/5/97,6.41192919
1/6/97,6.66771564
1/7/97,7.05083102
1/8/97,6.70491861
1/9/97,7.25098761
1/10/97,7.81973318
1/11/97,7.39810106
1/12/97,10.09623339
1/1/98,8.79851303
1/2/98,5.91826076
1/3/98,6.53449298
1/4/98,6.67573561
1/5/98,7.06420058
1/6/98,7.38338118
1/7/98,7.81349587
1/8/98,7.43189221
1/9/98,8.27511722
1/10/98,8.26044138
1/11/98,8.59615575
1/12/98,10.55893902
1/1/99,10.3914156
1/2/99,6.42153456
1/3/99,8.06261937
1/4/99,7.2977391
1/5/99,7.93691594
1/6/99,8.16532298
1/7/99,8.71742046
1/8/99,9.07096378
1/9/99,9.17711337
1/10/99,9.25188674
1/11/99,9.93313643
1/12/99,11.53297428
1/1/00,12.51146235
1/2/00,7.45719853
1/3/00,8.59119084
1/4/00,8.47400037
1/5/00,9.3868026
1/6/00,9.56039945
1/7/00,10.8342948
1/8/00,10.64375083
1/9/00,9.90816186
1/10/00,11.7100413
1/11/00,11.34015074
1/12/00,12.07913184
1/1/01,14.49758109
1/2/01,8.04927477
1/3/01,10.31289116
1/4/01,9.75335821
1/5/01,10.85038183
1/6/01,9.96171916
1/7/01,11.44360144
1/8/01,11.65923889
1/9/01,10.64705979
1/10/01,12.65213444
1/11/01,13.67446631
1/12/01,12.96573509
1/1/02,16.30026927
1/2/02,9.05348536
1/3/02,10.00244879
1/4/02,10.78875007
1/5/02,12.10670515
1/6/02,10.95410107
1/7/02,12.84456587
1/8/02,12.19649985
1/9/02,12.85474787
1/10/02,13.54200436
1/11/02,13.28764
1/12/02,15.13491784
1/1/03,16.82834968
1/2/03,9.80021461
1/3/03,10.81699371
1/4/03,10.65422256
1/5/03,12.51232269
1/6/03,12.16120969
1/7/03,12.9980462
1/8/03,12.51727568
1/9/03,13.26865761
1/10/03,14.73362169
1/11/03,13.66938174
1/12/03,16.50396561
1/1/04,18.00376795
1/2/04,11.93802987
1/3/04,12.9979001
1/4/04,12.88264507
1/5/04,13.94344681
1/6/04,13.9894722
1/7/04,15.33909742
1/8/04,15.37076394
1/9/04,16.142005
1/10/04,16.685754
1/11/04,17.636728
1/12/04,18.869325
1/1/05,20.778723
1/2/05,12.154552
1/3/05,13.402392
1/4/05,14.459239
1/5/05,14.795102
1/6/05,15.705248
1/7/05,15.82955
1/8/05,17.554701
1/9/05,18.100864
1/10/05,17.496668
1/11/05,19.347265
1/12/05,20.031291
1/1/06,23.486694
1/2/06,12.536987
1/3/06,15.467018
1/4/06,14.233539
1/5/06,17.783058
1/6/06,16.291602
1/7/06,16.980282
1/8/06,18.612189
1/9/06,16.623343
1/10/06,21.430241
1/11/06,23.575517
1/12/06,23.334206
1/1/07,28.038383
1/2/07,16.763869
1/3/07,19.792754
1/4/07,16.427305
1/5/07,21.000742
1/6/07,20.681002
1/7/07,21.83489
1/8/07,23.93020353
1/9/07,22.93035694
1/10/07,23.26333992
1/11/07,25.25003022
1/12/07,25.80609
1/1/08,29.665356
1/2/08,21.654285
1/3/08,18.264945
1/4/08,23.107677
1/5/08,22.91251
1/6/08,19.43174